userID,emailID,dialogID,nodeID,timeStamp,eventType,response
e38bf932-42fb-1c2c-fbec-451c6090151e,,0,,2016-07-09T15:43:11.023Z,click,__
e38bf932-42fb-1c2c-fbec-451c6090151e,,0,,2016-07-09T15:43:19.271Z,click,_______
e38bf932-42fb-1c2c-fbec-451c6090151e,,0,0,2016-07-09T15:43:30.645Z,click,______
e38bf932-42fb-1c2c-fbec-451c6090151e,,0,,2016-07-09T15:43:35.633Z,click,_______
e38bf932-42fb-1c2c-fbec-451c6090151e,,0,0,2016-07-09T15:43:45.459Z,click,________
e38bf932-42fb-1c2c-fbec-451c6090151e,,0,0,2016-07-09T15:43:52.890Z,click,______
9b9ecd02-39ad-bb0a-344c-f309f6c128d4,,0,,2016-07-13T19:46:41.206Z,click,__
9b9ecd02-39ad-bb0a-344c-f309f6c128d4,,0,0,2016-07-13T19:47:00.436Z,click,_____
9b9ecd02-39ad-bb0a-344c-f309f6c128d4,,0,0,2016-07-13T19:47:17.802Z,click,_______
3d4f9c44-b6ff-c504-39c8-ad4144e6f748,,0,,2016-07-13T19:48:10.428Z,click,__
3d4f9c44-b6ff-c504-39c8-ad4144e6f748,,0,0,2016-07-13T19:48:42.410Z,click,_____
3d4f9c44-b6ff-c504-39c8-ad4144e6f748,,0,0,2016-07-13T19:48:54.655Z,click,_____
3d4f9c44-b6ff-c504-39c8-ad4144e6f748,,0,0,2016-07-13T19:49:08.966Z,click,_____
a02321aa-7dd0-29ca-5a2a-0f5870a22203,,0,,2016-07-13T19:49:51.668Z,click,__
a02321aa-7dd0-29ca-5a2a-0f5870a22203,,0,0,2016-07-13T19:50:09.355Z,click,_______
a02321aa-7dd0-29ca-5a2a-0f5870a22203,,0,0,2016-07-13T19:50:35.840Z,click,_____
a02321aa-7dd0-29ca-5a2a-0f5870a22203,,0,0,2016-07-13T19:50:47.920Z,click,_____
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T22:58:52.041Z,click,____
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,2,2016-07-13T22:59:04.734Z,click,___
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T22:59:13.566Z,click,_________
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,3,2016-07-13T22:59:20.100Z,click,______
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T22:59:27.428Z,click,______
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,5,2016-07-13T22:59:43.327Z,click,___
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T23:00:04.095Z,click,___
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T23:00:10.037Z,click,______
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,4,2016-07-13T23:00:18.387Z,click,_____
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,6,2016-07-13T23:00:28.338Z,click,_____
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,8,2016-07-13T23:00:44.328Z,click,______
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,7,2016-07-13T23:01:20.782Z,click,____
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,10,2016-07-13T23:01:33.813Z,click,________
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,11,2016-07-13T23:01:46.642Z,click,______
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T23:02:09.592Z,click,_____
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,1,2016-07-13T23:02:14.300Z,click,__
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T23:02:21.728Z,click,_______
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T23:02:27.831Z,click,_______
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,13,2016-07-13T23:02:34.359Z,click,_______
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T23:02:46.890Z,click,_________
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T23:02:53.302Z,click,_______
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,0,2016-07-13T23:02:59.450Z,click,_
29c9eab4-1cd6-2886-1583-1b70700b2e46,t19,0,12,2016-07-13T23:03:10.143Z,click,________
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,1,2016-07-14T14:56:10.575Z,click,__
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,2,2016-07-14T14:56:16.512Z,click,____
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,3,2016-07-14T14:56:22.600Z,click,______
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,0,2016-07-14T14:56:27.450Z,click,______
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,0,2016-07-14T14:56:36.878Z,click,______
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,4,2016-07-14T14:56:42.433Z,click,_____
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,5,2016-07-14T14:56:48.069Z,click,____
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,8,2016-07-14T14:56:54.584Z,click,______
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,6,2016-07-14T14:57:03.266Z,click,______
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,7,2016-07-14T14:57:09.654Z,click,____
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,9,2016-07-14T14:57:18.852Z,click,_______
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,11,2016-07-14T14:57:27.297Z,click,_______
d5cc0499-bdec-63ff-2cb1-0a298ed0ca7c,t18,0,0,2016-07-14T14:57:37.512Z,click,_______
